zipcode,med_income,pop
13620,55800,2475
13621,51243,586
13622,59665,2330
13624,63345,5565
13625,49691,2049
13626,59211,2235
13630,47346,1434
13633,47615,277
13634,61131,3911
13635,37032,1055
13636,62426,180
13637,55658,4521
13638,63354,252
13639,44757,194
13640,58801,273
13642,41539,9667
13646,44291,2349
13648,48621,2300
13650,62453,1103
13651,64053,139
13652,46659,1954
13654,47395,2417
13655,37313,3520
13656,67459,2407
13658,52573,2303
13659,55435,503
13660,46819,1775
13661,63036,1549
13662,41677,16086
13664,62392,309
13665,48041,788
13666,35000,219
13667,46787,3310
13668,50525,3358
13669,43448,15761
13670,47256,463
13672,45008,502
13673,49412,2031
13675,65243,160
13676,47645,15385
13679,49909,1663
13680,41099,1205
13681,47218,940
13682,71320,938
13684,46215,1071
13685,63807,2170
13687,47104,464
13690,38475,757
13691,62810,3293
13692,70038,32
13693,47745,408
13694,58569,1541
13695,51356,133
13696,44164,156
13697,44297,2266
13699,20734,1217
13730,50694,2858
13731,45418,1036
13732,82225,7381
13733,55031,4994
13734,63496,2298
13736,60180,2437
13739,56298,878
13740,60563,474
13743,60945,3850
13744,67596,1073
13746,57479,2754
13748,57314,3605
13750,45119,950
13751,41801,193
13752,49702,879
13753,51732,5507
13754,47484,2995
13755,43096,916
13756,62773,481
13757,50946,1175
13760,55971,42697
13775,56517,1461
13776,56136,367
13777,64203,514
13778,58848,5456
13780,54590,946
13782,49741,924
13783,44534,2639
13786,51567,247
13787,54884,3439
13788,53004,1023
13790,45157,17991
13795,55752,3675
13796,49638,1157
13797,56060,2515
13801,45394,1294
13802,63571,600
13803,57850,3764
13804,60622,203
13806,54625,51
13807,44084,1223
13808,54435,1594
13809,53938,1473
13810,49645,1095
13811,63554,4132
13812,54728,2149
13813,55760,766
13815,47110,13291
13820,48952,22101
13825,54486,3296
13826,55282,194
13827,63374,11027
13830,52859,4807
13832,46514,404
13833,51588,4208
13835,49030,1368
13838,34866,3978
13839,47764,1283
13841,59003,448
13842,57461,505
13843,52322,1874
13844,47288,671
13846,55930,291
13849,49167,4587
13850,64812,27877
13856,39864,6185
13859,56125,178
13861,53320,486
13862,65019,4091
13863,54289,500
13864,57898,1124
13865,60567,5922
13901,44338,18858
13903,44648,18171
13904,45146,9233
13905,37311,27220
14001,62992,9478
14004,73659,12701
14005,64854,1741
14006,60322,9726
14008,54327,1502
14009,45866,5466
14011,63197,9558
14012,57082,2336
14013,57606,1612
14020,47831,22411
14024,57474,1656
14025,74321,3216
14026,87171,732
14028,60615,1935
14030,62007,1808
14031,85139,9762
14032,106795,8927
14033,78359,2203
14034,63268,1982
14036,60918,4884
14037,73571,1261
